Number,Question,A,B,C,D,Answer,Subject,correct,prediction
281,John Locke'a göre insan zihni doğuştan nasıldır?,Boş bir levha (tabula rasa),Bilgiyle dolu,Günahkar,Mükemmel,A,philosophy,True,A
282,Bertrand Russell'ın bilgi teorisinde bilgi nedir?,İnançların doğruluğu,Deneyimlerin sonucu,Mantıksal analiz,Sezgisel algı,C,philosophy,False,B
283,Michel Foucault'nun güç kavramına yaklaşımı nasıldır?,Güç bireylerin kontrolüdür,Güç toplumsal bir yapıdır,Güç doğuştan gelir,Güç iktidarın sonucudur,B,philosophy,False,D
284,Sartre'ın 'Bulantı' eserinde ana karakter Roquentin'in yaşadığı varoluşsal kriz neyi ifade eder?,Hayatın anlamsızlığını,Toplumsal baskıyı,Ahlaki çöküşü,İnançsızlığı,A,philosophy,True,A
285,Türk mutfağının ünlü tatlılarından biri olan baklavanın ana malzemesi nedir?,Un,Yoğurt,Pirinç,Şerbet,D,turkish_cuisine,False,C
286,Kebap türlerinden biri olan Adana kebabı hangi et türünden yapılır?,Tavuk,Kuzu,Sığır,Balık,B,turkish_cuisine,False,C
287,Türk mutfağında geleneksel olarak Ramazan ayında yapılan tatlı hangisidir?,Baklava,Şekerpare,Güllaç,Revani,C,turkish_cuisine,True,C
288,'Kuru fasulye' yemeği Türk mutfağının hangi bölgesine aittir?,Ege,Karadeniz,Doğu Anadolu,İç Anadolu,D,turkish_cuisine,True,D
289,İç pilavda kullanılan temel malzemelerden biri nedir?,Mercimek,Bulgur,Pirinç,Nohut,C,turkish_cuisine,True,C
290,'Mücver' yemeğinin ana malzemesi nedir?,Havuç,Patates,Kabak,Ispanak,C,turkish_cuisine,True,C
291,Türk mutfağının meşhur sokak lezzetlerinden biri olan midye dolma nasıl hazırlanır?,Bulgur ve sebzelerle,Et ve baharatlarla,Pirinç ve baharatlarla,Nohut ve sebzelerle,C,turkish_cuisine,True,C
292,Türk mutfağında kahvaltıda sıkça tüketilen bir peynir çeşidi hangisidir?,Çedar peyniri,Kaşar peyniri,Mozzarella,Feta peyniri,B,turkish_cuisine,True,B
293,Türk mutfağında önemli bir yere sahip olan zeytinyağlı yemeklerin ana özelliği nedir?,Et ile yapılması,Yağsız olması,Soğuk servis edilmesi,Tatlı olması,C,turkish_cuisine,False,B
294,'Hünkar beğendi' yemeğinde kullanılan ana malzeme hangisidir?,Kuzu eti,Tavuk eti,Dana eti,Balık eti,A,turkish_cuisine,False,C
295,Türk mutfağının vazgeçilmez içeceklerinden biri olan ayran hangi malzemelerle yapılır?,Yoğurt su tuz,Yoğurt süt şeker,Yoğurt su bal,Yoğurt meyve su,A,turkish_cuisine,True,A
296,Türk mutfağında bayramlarda sıklıkla yapılan tatlı hangisidir?,Baklava,Muhallebi,Şöbiyet,Künefe,A,turkish_cuisine,False,D
297,'Çılbır' yemeğinde kullanılan temel malzemeler nelerdir?,Yumurta yoğurt,Yumurta domates,Yumurta peynir,Yumurta patates,A,turkish_cuisine,False,C
298,Türk mutfağında 'cacık' nasıl hazırlanır?,Yoğurt salatalık sarımsak,Yoğurt patlıcan sarımsak,Yoğurt domates sarımsak,Yoğurt biber sarımsak,A,turkish_cuisine,True,A
299,Türk mutfağının meşhur tatlılarından biri olan 'şekerpare' hangi malzeme ile yapılır?,Un,İrmik,Bulgur,Pirinç,B,turkish_cuisine,False,A
300,Türk mutfağında kullanılan temel baharatlardan biri olan 'sumak' genellikle hangi tür yemeklerde kullanılır?,Tatlılarda,Sebze yemeklerinde,Salatalarda,Et yemeklerinde,C,turkish_cuisine,False,D
301,Türk mutfağında 'mantı' nasıl servis edilir?,Yoğurt ve sarımsaklı sos ile,Domates sosu ile,Sebzelerle,Et suyu ile,A,turkish_cuisine,True,A
302,"log1656 = a, log2 = b, log3 = c ise log23 neye denk gelmektedir?",a-2b-3c,"a-3b,2c",a-b-3c,a-b-c,B,hard_mathematics,False,D
303,lna = p olduğu bir durumda log(a^2) hangisine  eşittir?,p.log(e),"2p.log(e)""",p.log(e/2),(p/2).log(e),B,hard_mathematics,True,B
304,2^(2x) - (2.(2^x)) - 8 = 0 ise x kaçtır?,2,1,ln4,2.ln4,A,hard_mathematics,False,X
305,"n bir tam sayıdır ve 1<n<100 aralığındaki bütün pozitif sayıları alabilmektedir. log(2, log(3, n)) ifadesi pozitif bir tam sayıya eşit ise n sayısının alabileceği değerler toplamı kaçtır?",45,63,72,90,D,hard_mathematics,True,D
306,"log(4,x) be log(8,(1/x)) sayılarının ortalaması 1/2 dir. BU bilgiden yola çıkarak log(16,x) ifadesi kaçtır?",1/2,3/2,1/4,5/4,B,hard_mathematics,False,X
307,"log(4,x) ve log(4,(x^2)) ardışık iki pozitif çift sayıdır. Buna göre log(x,4) kaçtır?",1/2,1/4,1/16,1,A,hard_mathematics,True,A
308,"log(2, log(3, (5x+6))) ifadesi ikiye eşit ise x kaçtır?",6,8,9,15,D,hard_mathematics,False,B
